location,year,catch,direct_consumption,fishmeal_and_fish_oil,other_usage
Belgium,1964,80291.22774920899,80232.341815671,29.44296676899999,29.44296676899999
Belgium,1965,80929.76647209101,80871.76426380502,29.001104143,29.001104143
Belgium,1966,89715.47154096299,89655.031327971,30.220106496000003,30.220106496000003
Belgium,1967,93618.329646734,93555.94949734,31.190074697,31.190074697
Belgium,1968,97423.05702500098,97356.50446878896,33.27627810600001,33.27627810600001
Belgium,1969,84700.305535446,84642.52251748,28.891508983,28.891508983
Belgium,1970,77172.25568039098,77118.837255775,26.709212308,26.709212308
Belgium,1971,83297.93381604398,83239.57557706599,29.179119489,29.179119489
Belgium,1972,83297.92843275,83238.954455674,29.486988538,29.486988538
Belgium,1973,76796.074732692,76743.475828512,26.299452090000003,26.299452090000003
Belgium,1974,68622.01931544601,68574.51373420401,23.752790620999995,23.752790620999995
Belgium,1975,71498.453549488,71449.67365715401,24.389946167,24.389946167
Belgium,1976,65755.059676762,65710.95017668401,22.054750039,22.054750039
Belgium,1977,66464.53755711002,66418.689253802,22.924151654,22.924151654
Belgium,1978,71312.36127852998,71262.56803369598,24.896622417000003,24.896622417000003
Belgium,1979,69543.54432313301,69495.90911590902,23.817603612,23.817603612
Belgium,1980,65336.88740574099,65291.37318313699,22.757111302,22.757111302
Belgium,1981,68521.60942289098,68471.67655855899,24.966432166,24.966432166
Belgium,1982,71013.47715574902,70964.476492821,24.500331464,24.500331464
Belgium,1983,67632.43899711502,67584.09938666302,24.169805226,24.169805226
Belgium,1984,67590.68411997402,67542.660933594,24.01159319,24.01159319
Belgium,1985,66764.87967676301,66718.68986100501,23.094907879,23.094907879
Belgium,1986,55855.42723488701,55815.25135895701,20.087937965,20.087937965
Belgium,1987,58592.35437198699,58550.745230746994,20.80457062,20.80457062
Belgium,1988,60738.304875518006,60694.866433196,21.719221161,21.719221161
Belgium,1989,59527.77377294,59486.73012078399,20.521826078000004,20.521826078000004
Belgium,1990,63483.49160276101,63439.93110494101,21.78024891,21.78024891
Belgium,1991,63433.46686761399,63391.12143956999,21.172714022000005,21.172714022000005
Belgium,1992,57545.529097176,57506.42985942,19.549618878,19.549618878
Belgium,1993,56909.723535984005,56872.08477254,18.819381722,18.819381722
Belgium,1994,54053.23537454799,54017.434595876,17.900389336000003,17.900389336000003
Belgium,1995,56267.13184251199,56230.14293119599,18.494455658,18.494455658
Belgium,1996,45837.81440715998,45806.22734422199,15.793531469000005,15.793531469000005
Belgium,1997,43582.88649306099,43551.58761334299,15.649439859,15.649439859
Belgium,1998,43049.54896325699,43018.20523675699,15.671863249999998,15.671863249999998
Belgium,1999,44483.07567859401,44452.673691116,15.200993739,15.200993739
Belgium,2000,42304.05875060001,42273.784092526,15.137329037,15.137329037
Belgium,2001,43984.61613790602,43953.76056136002,15.427788273000004,15.427788273000004
Belgium,2002,39307.872300676005,39278.51371536601,14.679292655,14.679292655
Belgium,2003,39657.913572491,39629.885543608994,14.014014441,14.014014441
Belgium,2004,36780.37158594699,36753.21719967099,13.577193138,13.577193138
Belgium,2005,34671.612655122,34646.732889246,12.439882938,12.439882938
Belgium,2006,31513.174524613994,31490.415413417995,11.379555598,11.379555598
Belgium,2007,32298.475838915,32274.298647035,12.08859594,12.08859594
Belgium,2008,32220.857502923,32198.535813673,11.160844625,11.160844625
Belgium,2009,33653.765974483,33631.682386443004,11.04179402,11.04179402
Belgium,2010,35117.33582193199,35094.548397873994,11.393712029,11.393712029
Belgium,2011,30910.930080887,30888.520848717,11.204616085,11.204616085
Belgium,2012,110054.89741221702,109960.535329733,47.181041242,47.181041242
Belgium,2013,36866.683399882,36840.859554604,12.911922639,12.911922639
Belgium,2014,38762.033555255,38735.045279503,13.494137875999998,13.494137875999998
Belgium,2015,38921.2411817396,38895.806119967,12.717530886300002,12.717530886300002
Belgium,2016,44725.934238276,44697.976248490006,13.978994893,13.978994893
Belgium,2017,39810.653504177,39785.373562383,12.639970897,12.639970897
Belgium,2018,36463.548097272,36439.795251184,11.876423044,11.876423044
Brazil,1950,187454.680639553,171421.166962675,15980.111650542003,53.402026336000006
Brazil,1951,192812.191596926,177172.76931321403,15583.342665932998,56.079617779
Brazil,1952,212243.45963721603,196979.22866683305,15202.30317848,61.927791903000006
Brazil,1953,188793.62251529293,174475.047616333,14263.193015821002,55.381883139
Brazil,1954,208722.776604084,195148.29760808492,13513.235759307005,61.243236692
Brazil,1955,225871.56485698,210282.528187072,15522.289486964002,66.747182944
Brazil,1956,248293.0919665509,228181.9877357589,20038.02616122,73.07806957199999
Brazil,1957,250945.01218137908,233497.18566285807,17371.860776262998,75.96574225799999
Brazil,1958,250453.936694064,234790.643321278,15590.545008244995,72.748364541
Brazil,1959,326048.80928141106,308247.98304295907,17707.705528521998,93.12070993
Brazil,1960,331036.5562651412,309382.55359302217,21558.038775919005,95.9638962
Brazil,1961,387011.9417849329,358698.32258274395,28201.021304073,112.597898116
Brazil,1962,552647.226866,505759.383439056,46727.97890394999,159.864522994
Brazil,1963,553537.856146085,484452.215757318,68939.839947761,145.80044100599997
Brazil,1964,575818.1442672991,527947.0327242141,47698.43679951601,172.67474356900004
Brazil,1965,621822.7850192232,564163.5250529032,57478.21728614299,181.042680177
Brazil,1966,670045.024360945,597549.293327755,72308.579772296,187.151260894
Brazil,1967,607603.712045496,519496.2871697899,87949.865745592,157.55913011399997
Brazil,1968,692856.9819803408,608524.8297462468,84141.93017086499,190.222063229
Brazil,1969,689749.907767267,584640.779354579,104924.110652844,185.017759844
